Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,1.018,6.008,3.232,2083,2.738
TankLearning,0.383,9.142,2.681,2153,0.566
TankLearning,0.380,12.491,2.911,2155,0.531
TankLearning,0.366,15.496,2.578,2052,2.195
TankLearning,0.393,19.128,3.175,2180,0.180
TankLearning,0.378,22.714,3.135,2154,-0.045
TankLearning,0.370,26.450,3.295,2049,-1.151
TankLearning,0.345,30.200,3.341,2061,0.353
TankLearning,0.372,34.090,3.456,2273,-0.032
TankLearning,0.346,38.419,3.927,2052,-0.947
TankLearning,0.368,43.101,4.259,2177,0.577
TankLearning,0.356,48.076,4.550,2145,0.032
TankLearning,0.347,53.630,5.136,2100,-1.124
TankLearning,0.349,58.127,4.093,2129,0.369
TankLearning,0.353,63.466,4.921,2149,-0.382
TankLearning,0.344,71.167,7.273,2095,-0.071
TankLearning,0.349,76.431,4.869,2141,-0.293
TankLearning,0.357,82.998,6.149,2140,0.297
TankLearning,0.359,91.250,7.816,2076,0.145
TankLearning,0.353,97.400,5.746,2092,-0.029
TankLearning,0.366,104.823,7.000,2210,-0.283
TankLearning,0.346,113.964,8.734,2109,-0.105
TankLearning,0.349,120.470,6.106,2058,0.270
TankLearning,0.363,129.310,8.417,2210,0.192
TankLearning,0.403,140.454,10.680,2175,0.237
TankLearning,0.384,148.790,7.894,2051,0.298
TankLearning,0.421,160.496,11.204,2148,-0.243
TankLearning,0.374,174.663,13.698,2093,0.183
TankLearning,0.380,183.644,8.558,2132,0.087
TankLearning,0.373,195.300,11.195,2151,0.161
TankLearning,0.368,210.138,14.388,2081,0.590
TankLearning,0.453,220.857,10.212,2148,0.270
TankLearning,0.408,235.537,14.193,2145,0.198
TankLearning,0.432,249.584,13.539,2068,1.365
TankLearning,0.417,265.429,15.351,2161,0.447
TankLearning,0.410,281.670,15.755,2148,0.069
TankLearning,0.393,302.018,19.855,2106,-0.004
TankLearning,0.410,315.430,12.952,2125,0.229
