Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,0.642,5.203,3.285,2864,0.183
TankLearning,0.209,8.247,2.760,2400,-0.010
TankLearning,0.187,11.098,2.579,2160,-0.067
TankLearning,0.185,14.095,2.732,2144,0.120
TankLearning,0.183,17.041,2.691,2080,nan
TankLearning,0.189,20.461,3.149,2160,0.021
TankLearning,0.184,24.209,3.490,2144,0.196
TankLearning,0.188,28.124,3.646,2080,nan
TankLearning,0.188,32.551,4.164,2160,-0.064
TankLearning,0.187,36.446,3.638,2080,nan
TankLearning,0.185,41.167,4.453,2160,-0.118
TankLearning,0.190,46.007,4.576,2160,0.009
TankLearning,0.185,50.919,4.649,2080,nan
TankLearning,0.188,57.021,5.829,2160,-0.109
TankLearning,0.188,63.435,6.133,2160,-0.122
TankLearning,0.186,69.993,6.282,2144,0.013
TankLearning,0.207,77.801,7.512,2400,0.116
TankLearning,0.244,87.167,9.028,2688,0.093
TankLearning,0.208,95.857,8.403,2320,0.020
TankLearning,0.186,103.746,7.615,2080,nan
TankLearning,0.266,117.175,13.073,3008,0.119
TankLearning,0.208,128.348,10.876,2320,-0.015
TankLearning,0.187,139.076,10.465,2160,0.017
TankLearning,0.182,149.179,9.846,2080,nan
TankLearning,0.188,160.870,11.414,2160,-0.022
TankLearning,0.188,173.141,11.989,2160,-0.033
TankLearning,0.191,186.370,12.951,2144,0.119
TankLearning,0.192,200.249,13.606,2080,nan
TankLearning,0.194,215.645,15.118,2144,0.105
TankLearning,0.194,231.259,15.328,2144,0.093
TankLearning,0.265,254.176,22.550,2928,0.208
TankLearning,0.216,273.801,19.320,2336,0.034
TankLearning,0.186,292.353,18.287,2144,0.078
TankLearning,0.189,310.956,18.337,2144,0.079
TankLearning,0.187,329.887,18.675,2080,nan
TankLearning,0.188,352.165,22.017,2144,0.055
TankLearning,0.187,373.655,21.237,2080,nan
TankLearning,0.190,398.164,24.236,2144,0.040
TankLearning,0.188,424.354,25.911,2144,0.072
TankLearning,0.189,450.737,26.121,2144,0.074
TankLearning,0.187,477.203,26.196,2080,nan
TankLearning,0.191,505.321,27.857,2160,-0.189
TankLearning,0.190,532.407,26.827,2080,nan
TankLearning,0.186,562.027,29.362,2160,-0.132
TankLearning,0.184,591.810,29.525,2160,-0.191
TankLearning,0.181,620.566,28.509,2080,nan
TankLearning,0.191,652.275,31.438,2160,-0.046
TankLearning,0.184,684.627,32.091,2160,-0.046
TankLearning,0.181,716.025,31.144,2080,nan
TankLearning,0.185,750.268,33.974,2160,-0.103
TankLearning,0.185,785.301,34.764,2160,-0.187
TankLearning,0.185,820.918,35.364,2144,0.011
TankLearning,0.182,856.946,35.769,2080,nan
TankLearning,0.184,895.258,38.036,2160,-0.139
TankLearning,0.185,934.849,39.330,2144,0.040
TankLearning,0.181,974.651,39.547,2080,nan
TankLearning,0.246,1017.062,42.095,2160,-0.119
TankLearning,0.197,1066.695,49.339,2144,0.029
TankLearning,0.204,1116.252,49.277,2080,nan
TankLearning,0.215,1170.233,53.679,2144,0.022
TankLearning,0.219,1222.981,52.434,2080,nan
TankLearning,0.215,1280.219,56.927,2160,-0.119
TankLearning,0.219,1339.054,58.529,2144,0.052
TankLearning,0.238,1395.986,56.609,2080,nan
TankLearning,0.220,1458.243,61.948,2160,-0.127
TankLearning,0.213,1521.334,62.778,2160,-0.166
TankLearning,0.189,1580.751,59.145,2144,0.006
TankLearning,0.186,1636.011,55.004,2080,nan
TankLearning,0.192,1695.147,58.879,2160,-0.137
TankLearning,0.186,1751.621,56.215,2080,nan
TankLearning,0.187,1811.194,59.306,2112,-0.029
TankLearning,0.197,1875.328,63.863,2192,-0.052
TankLearning,0.192,1939.987,64.378,2144,0.038
TankLearning,0.194,2005.224,64.963,2080,nan
TankLearning,0.184,2074.675,69.186,2144,0.043
TankLearning,0.184,2146.241,71.309,2144,-0.012
TankLearning,0.213,2220.394,73.866,2080,nan
TankLearning,0.196,2300.734,80.065,2160,-0.148
TankLearning,0.187,2375.932,74.944,2064,0.173
TankLearning,0.184,2459.456,83.265,2128,0.056
TankLearning,0.203,2546.666,86.923,2176,-0.025
TankLearning,0.197,2631.440,84.498,2064,0.027
TankLearning,0.198,2723.637,91.909,2160,-0.005
TankLearning,0.287,2818.183,94.170,2160,-0.114
TankLearning,0.191,2921.933,103.468,2144,0.082
TankLearning,0.205,3017.008,94.793,2080,nan
TankLearning,0.203,3115.387,98.103,2160,-0.156
TankLearning,0.187,3210.056,94.407,2080,nan
TankLearning,0.187,3305.392,95.082,2080,-0.041
TankLearning,0.210,3411.893,106.147,2224,-0.051
TankLearning,0.206,3508.388,96.212,2080,nan
TankLearning,0.192,3615.513,106.847,2160,-0.154
TankLearning,0.200,3723.518,107.727,2160,-0.104
TankLearning,0.190,3834.364,110.570,2144,0.080
TankLearning,0.188,3943.406,108.761,2080,nan
TankLearning,0.188,4056.432,112.748,2160,-0.200
TankLearning,0.268,4174.472,117.690,2144,0.037
TankLearning,0.190,4297.798,123.012,2080,nan
TankLearning,0.199,4421.818,123.744,2160,-0.146
TankLearning,0.198,4540.356,118.279,2080,nan
TankLearning,0.291,4721.458,180.708,3088,-0.024
TankLearning,0.211,4857.196,135.437,2256,-0.012
TankLearning,0.198,4990.045,132.576,2160,-0.128
TankLearning,0.195,5116.594,126.283,2080,nan
TankLearning,0.276,5300.992,184.024,2800,0.136
TankLearning,0.185,5438.992,137.738,2096,0.094
TankLearning,0.192,5580.111,140.851,2112,0.126
TankLearning,0.184,5724.459,144.091,2096,0.213
TankLearning,0.184,5877.683,152.967,2096,0.137
TankLearning,0.186,6036.221,158.275,2112,0.102
TankLearning,0.182,6197.403,160.928,2080,0.106
TankLearning,0.219,6394.993,197.279,2544,-0.011
TankLearning,0.186,6564.637,169.382,2160,-0.162
TankLearning,0.189,6735.877,170.974,2144,-0.004
TankLearning,0.185,6906.323,170.191,2080,nan
TankLearning,0.186,7084.840,178.246,2160,-0.092
TankLearning,0.184,7257.217,172.140,2080,nan
TankLearning,0.185,7439.397,181.920,2160,-0.069
TankLearning,0.185,7623.874,184.212,2160,-0.188
