Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,1.194,8.385,5.575,4128,nan
TankLearning,0.341,11.550,2.771,2271,0.313
TankLearning,0.618,16.377,4.133,4105,-4.206
TankLearning,0.309,19.131,2.405,2294,0.486
TankLearning,0.643,23.734,3.883,4128,nan
TankLearning,0.331,26.548,2.443,2271,0.520
TankLearning,0.677,31.277,3.960,4128,nan
TankLearning,0.338,34.087,2.428,2272,0.538
TankLearning,0.594,38.775,4.011,4104,-2.438
TankLearning,0.324,41.484,2.338,2295,0.801
TankLearning,0.613,46.189,4.022,4128,nan
TankLearning,0.351,49.039,2.456,2272,0.876
TankLearning,0.656,53.838,4.056,4128,nan
TankLearning,0.368,56.727,2.489,2272,0.295
TankLearning,0.634,61.916,4.483,4128,nan
TankLearning,0.355,64.819,2.499,2272,0.539
TankLearning,0.624,69.932,4.406,4128,nan
TankLearning,0.325,72.754,2.452,2272,1.170
TankLearning,0.628,77.562,4.098,4128,nan
TankLearning,0.347,80.512,2.551,2272,1.062
TankLearning,0.634,85.561,4.338,4128,nan
TankLearning,0.331,88.472,2.542,2272,1.871
TankLearning,0.617,93.255,4.083,4128,nan
TankLearning,0.321,96.087,2.467,2272,2.111
TankLearning,0.582,100.899,4.157,4086,-1.811
TankLearning,0.349,103.823,2.535,2312,1.962
TankLearning,0.612,108.631,4.140,4128,nan
TankLearning,0.347,111.612,2.586,2271,2.529
TankLearning,0.639,116.480,4.156,4128,nan
TankLearning,0.328,119.391,2.541,2272,2.687
TankLearning,0.638,124.372,4.271,4128,nan
TankLearning,0.335,127.284,2.532,2272,2.144
TankLearning,0.606,132.120,4.148,4128,nan
TankLearning,0.332,135.050,2.552,2272,3.008
TankLearning,0.651,139.979,4.208,4128,nan
TankLearning,0.334,143.010,2.649,2271,3.354
TankLearning,0.614,147.820,4.118,4128,nan
TankLearning,0.343,150.712,2.508,2272,3.230
TankLearning,0.619,155.666,4.255,4128,nan
TankLearning,0.333,158.571,2.529,2272,4.756
TankLearning,0.602,163.442,4.178,4128,nan
TankLearning,0.354,166.392,2.559,2272,3.346
TankLearning,0.599,171.337,4.262,4128,nan
TankLearning,0.337,174.167,2.457,2272,4.281
TankLearning,0.634,179.251,4.369,4128,nan
TankLearning,0.347,182.134,2.495,2271,4.115
TankLearning,0.597,187.180,4.368,4128,nan
TankLearning,0.345,190.022,2.451,2272,4.089
TankLearning,0.601,195.055,4.361,4128,nan
TankLearning,0.324,197.858,2.439,2271,3.972
TankLearning,0.593,202.754,4.230,4128,nan
TankLearning,0.325,205.505,2.389,2272,4.397
TankLearning,0.576,210.411,4.245,4128,nan
TankLearning,0.320,213.200,2.430,2271,4.381
TankLearning,0.573,218.098,4.250,4000,-2.414
TankLearning,0.370,220.918,2.405,2399,4.278
TankLearning,0.628,226.032,4.412,4128,nan
TankLearning,0.325,228.937,2.538,2271,4.319
TankLearning,0.601,234.000,4.395,4128,nan
TankLearning,0.341,236.881,2.490,2272,4.663
TankLearning,0.631,242.221,4.630,4128,nan
TankLearning,0.310,245.026,2.444,2272,4.429
TankLearning,0.595,250.058,4.356,4128,nan
TankLearning,0.322,252.993,2.569,2271,5.129
TankLearning,0.605,258.168,4.499,4128,nan
TankLearning,0.323,261.057,2.522,2272,5.611
TankLearning,0.609,266.135,4.386,4128,nan
TankLearning,0.327,269.036,2.527,2270,5.008
TankLearning,0.588,274.076,4.380,4128,nan
TankLearning,0.324,276.908,2.467,2272,5.134
TankLearning,0.620,282.004,4.405,4128,nan
TankLearning,0.319,284.799,2.435,2271,4.557
TankLearning,0.599,289.888,4.422,4128,nan
TankLearning,0.325,292.721,2.469,2272,5.294
TankLearning,0.679,298.014,4.533,4127,1.455
TankLearning,0.342,300.955,2.556,2272,4.732
TankLearning,0.601,306.050,4.422,4128,nan
TankLearning,0.341,308.905,2.473,2272,4.731
TankLearning,0.602,314.129,4.545,4128,nan
TankLearning,0.331,317.006,2.490,2272,4.811
TankLearning,0.620,322.241,4.540,4092,0.959
TankLearning,0.349,325.254,2.629,2306,4.568
TankLearning,0.606,330.542,4.601,4128,nan
TankLearning,0.315,333.398,2.500,2270,4.827
TankLearning,0.605,338.773,4.692,4128,nan
TankLearning,0.325,341.626,2.490,2272,6.294
TankLearning,0.610,346.983,4.674,4096,-0.418
TankLearning,0.322,349.867,2.519,2303,4.516
TankLearning,0.579,354.972,4.445,4128,nan
TankLearning,0.310,357.767,2.443,2271,5.912
TankLearning,0.579,362.834,4.415,4128,nan
TankLearning,0.308,365.619,2.428,2272,4.747
TankLearning,0.624,370.668,4.359,4128,nan
TankLearning,0.307,373.472,2.458,2272,5.418
TankLearning,0.580,378.494,4.361,4128,nan
TankLearning,0.307,381.253,2.405,2272,5.898
TankLearning,0.578,386.255,4.343,4128,nan
TankLearning,0.321,389.044,2.431,2272,4.981
TankLearning,0.579,394.094,4.395,4128,nan
TankLearning,0.309,396.912,2.461,2271,4.824
TankLearning,0.596,402.011,4.429,4128,nan
TankLearning,0.315,404.946,2.578,2272,4.500
TankLearning,0.608,410.324,4.705,4128,nan
TankLearning,0.330,413.361,2.669,2270,4.976
TankLearning,0.582,418.578,4.560,4128,nan
TankLearning,0.307,421.379,2.461,2272,5.142
TankLearning,0.580,426.450,4.408,4128,nan
TankLearning,0.305,429.224,2.432,2272,5.010
TankLearning,0.573,434.298,4.428,4128,nan
TankLearning,0.307,437.134,2.488,2271,6.222
TankLearning,0.594,442.248,4.447,4128,nan
TankLearning,0.318,445.025,2.420,2272,5.789
TankLearning,0.595,450.141,4.442,4128,nan
