Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,1.502,7.524,3.997,4100,-2.402
TankLearning,0.475,10.358,2.326,2297,0.415
TankLearning,0.827,15.252,3.963,4128,nan
TankLearning,0.436,18.057,2.336,2272,0.508
TankLearning,0.821,22.835,3.890,4128,nan
TankLearning,0.432,25.654,2.353,2272,0.511
TankLearning,0.822,30.421,3.889,4128,nan
TankLearning,0.438,33.240,2.349,2272,0.692
TankLearning,0.818,38.012,3.891,4128,nan
TankLearning,0.435,40.848,2.370,2272,0.638
TankLearning,0.829,45.686,3.951,4128,nan
TankLearning,0.436,48.552,2.391,2272,0.810
TankLearning,0.787,53.368,3.972,4004,-2.264
TankLearning,0.465,56.260,2.386,2395,1.156
TankLearning,0.820,61.102,3.972,4128,nan
TankLearning,0.437,64.006,2.436,2271,1.324
TankLearning,0.816,68.849,3.965,4128,nan
TankLearning,0.442,71.729,2.401,2272,1.767
TankLearning,0.822,76.615,4.009,4128,nan
TankLearning,0.441,79.569,2.472,2271,2.105
TankLearning,0.819,84.437,3.990,4128,nan
TankLearning,0.434,87.331,2.429,2272,2.606
TankLearning,0.819,92.236,4.023,4128,nan
TankLearning,0.436,95.145,2.439,2271,1.984
TankLearning,0.814,100.051,4.038,4128,nan
TankLearning,0.438,102.986,2.464,2271,3.404
TankLearning,0.807,107.912,4.058,4128,nan
TankLearning,0.432,110.881,2.501,2270,3.633
TankLearning,0.814,115.819,4.061,4128,nan
TankLearning,0.437,118.754,2.473,2271,3.616
TankLearning,0.809,123.716,4.098,4119,0.460
TankLearning,0.436,126.627,2.433,2280,3.163
TankLearning,0.809,131.581,4.076,4128,nan
TankLearning,0.437,134.479,2.433,2272,4.416
TankLearning,0.813,139.437,4.082,4128,nan
TankLearning,0.450,142.460,2.536,2270,3.193
TankLearning,0.809,147.428,4.097,4128,nan
TankLearning,0.445,150.350,2.445,2272,4.435
TankLearning,0.812,155.348,4.122,4128,nan
TankLearning,0.439,158.301,2.463,2271,4.883
TankLearning,0.816,163.285,4.107,4128,nan
TankLearning,0.439,166.257,2.496,2272,4.025
TankLearning,0.808,171.251,4.126,4128,nan
TankLearning,0.441,174.202,2.479,2272,4.348
TankLearning,0.823,179.316,4.232,4128,nan
TankLearning,0.436,182.236,2.457,2271,4.387
TankLearning,0.815,187.284,4.169,4128,nan
TankLearning,0.443,190.208,2.443,2272,4.514
TankLearning,0.813,195.324,4.246,4128,nan
TankLearning,0.441,198.210,2.420,2272,5.351
TankLearning,0.811,203.360,4.278,4128,nan
TankLearning,0.447,206.236,2.392,2272,4.258
TankLearning,0.808,211.339,4.232,4128,nan
TankLearning,0.437,214.207,2.406,2272,4.749
TankLearning,0.812,219.305,4.225,4128,nan
TankLearning,0.437,222.208,2.430,2272,5.392
TankLearning,0.811,227.323,4.259,4128,nan
TankLearning,0.437,230.205,2.415,2272,4.432
TankLearning,0.812,235.332,4.244,4128,nan
TankLearning,0.440,238.242,2.425,2271,4.656
TankLearning,0.814,243.480,4.375,4128,nan
TankLearning,0.443,246.384,2.430,2272,4.514
TankLearning,0.819,251.540,4.283,4128,nan
TankLearning,0.436,254.483,2.483,2271,4.215
TankLearning,0.816,259.666,4.300,4128,nan
TankLearning,0.437,262.589,2.460,2272,4.676
TankLearning,0.824,267.779,4.305,4128,nan
TankLearning,0.437,270.697,2.452,2272,4.031
TankLearning,0.816,275.863,4.285,4128,nan
TankLearning,0.437,278.780,2.446,2272,4.332
TankLearning,0.810,283.930,4.277,4128,nan
TankLearning,0.439,286.878,2.479,2271,4.181
TankLearning,0.828,292.109,4.342,4112,0.875
TankLearning,0.439,295.078,2.492,2286,5.229
TankLearning,0.820,300.292,4.343,4128,nan
TankLearning,0.438,303.189,2.432,2272,4.945
TankLearning,0.824,308.420,4.342,4128,nan
TankLearning,0.431,311.400,2.514,2272,4.190
TankLearning,0.815,316.645,4.366,4128,nan
TankLearning,0.439,319.566,2.443,2272,5.223
TankLearning,0.817,324.842,4.403,4128,nan
TankLearning,0.435,327.821,2.511,2271,4.197
TankLearning,0.814,333.091,4.391,4128,nan
TankLearning,0.436,336.023,2.464,2272,4.018
TankLearning,0.815,341.306,4.406,4128,nan
TankLearning,0.437,344.228,2.454,2272,4.604
TankLearning,0.819,349.508,4.395,4128,nan
